country,period_type,year,quarter,revenue_value,revenue_currency,gross_profit,gross_margin_pct,operating_profit,operating_margin_pct,net_profit,net_margin_pct,notes
US,quarterly,2025,Q3,,USD,,,,,,,Timberland grew 8% YoY; 5% constant dollar in Q3 FY2026. Source: VF press release.
US,quarterly,2020,Q1,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2020,Q2,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2020,Q3,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2020,Q4,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2021,Q1,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2021,Q2,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2021,Q3,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2021,Q4,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2022,Q1,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2022,Q2,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2022,Q3,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2022,Q4,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2023,Q1,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2023,Q2,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2023,Q3,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2023,Q4,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2024,Q1,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2024,Q2,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2024,Q3,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2024,Q4,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2025,Q1,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2025,Q2,,USD,,,,,,,Placeholder row; add data when available.
US,quarterly,2025,Q4,,USD,,,,,,,Placeholder row; add data when available.
